names	groups	scores	logfc	pvals	pvals_adj
ENSG00000167721	5	2.1629684	1.9078515	0.0430042817577561	661.448857716046
ENSG00000132793	5	2.1512954	1.636939	0.0431387054983786	663.516429270562
ENSG00000227097	5	2.1449842	1.1875407	0.0433209065992327	666.318864402799
ENSG00000228903	5	2.2117386	3.6811538	0.0452492262162489	695.978348432125
ENSG00000277778	5	2.1462913	1.7698522	0.0468618473135034	720.782073528995
ENSG00000176826	5	2.1762142	3.1936393	0.0474691066400687	730.122329230896
ENSG00000105143	6	2.5497847	1.2230619	0.0183514997650072	282.264417885575
ENSG00000141968	6	2.5480816	1.8848377	0.019780979867145	304.251251336557
ENSG00000155366	6	2.6129901	3.2696562	0.020831489378672	320.409138133354
ENSG00000165527	6	2.4519277	1.413099	0.0234151624514299	360.148613665443
ENSG00000188785	6	2.49735	2.3336177	0.0234257400958866	360.311308414832
ENSG00000083799	6	2.4692535	1.8469963	0.0245828203705741	378.108360119801
ENSG00000119778	6	2.4294944	2.2392235	0.0268563548397102	413.077593789583
ENSG00000189043	6	2.3603213	0.91267514	0.0275823271247274	424.243773505432
ENSG00000168569	6	2.3618937	1.846056	0.029060772447322	446.98374101226
ENSG00000189241	6	2.291366	1.1513759	0.0319676755369746	491.694817434206
ENSG00000197782	6	2.190368	1.8443831	0.0412191546777837	633.991818098991
ENSG00000110619	6	2.1607094	1.9213414	0.0466338991867566	717.276003391504
ENSG00000177879	6	2.1156886	1.5747706	0.0474018598043634	729.088005650914
ENSG00000101608	6	2.091708	0.4865162	0.0483828851168104	744.177155981661
ENSG00000161714	6	2.112637	2.398813	0.0526170842112385	809.303372253059
ENSG00000153250	6	2.0780995	2.1848872	0.0541489902702931	832.865619347378
ENSG00000152240	6	2.060814	1.7892151	0.0545324076691724	838.762962359541
ENSG00000213809	6	2.0523348	1.8475969	0.0557012602814225	856.741084388559
ENSG00000123684	6	2.0759592	2.5656366	0.0569059283691916	875.270084246537
ENSG00000117505	6	1.992591	0.97497225	0.0590550217943244	908.325290218503
ENSG00000143994	6	2.070182	3.133155	0.0602671169956234	926.968526509683
ENSG00000104427	6	2.037019	2.7638686	0.0606741820994238	933.229594871237
ENSG00000119866	6	1.9739046	0.6740557	0.0610853959978508	939.554475842943
ENSG00000184743	6	1.9756263	1.3170824	0.0614622534628154	945.350920511563
ENSG00000079785	6	1.9846498	1.6860944	0.0624525860012189	960.583225284748
ENSG00000119125	6	2.0049593	2.1733024	0.0624813956706394	961.026346810105
ENSG00000162739	6	1.9723	1.3987547	0.0624820408608652	961.036270480967
ENSG00000124243	6	1.9626051	1.1888473	0.0630096417130062	969.151299187749
ENSG00000181222	6	1.9637958	1.3523747	0.0657404592244971	1011.15400333199
ENSG00000105355	6	1.9588747	2.0172503	0.0663062020316461	1019.85569344875
ENSG00000197061	6	1.9332376	1.0165458	0.0665166275266953	1023.0922479881
ENSG00000128274	6	1.9784417	2.8251746	0.0698967445567764	1075.08182802778
ENSG00000179988	6	1.9801198	3.981595	0.071875154878784	1105.51175719058
ENSG00000137500	6	1.8899807	0.8070358	0.0721150149185106	1109.20104446161
ENSG00000011478	6	1.9351177	2.3209748	0.0726975565417737	1118.16111716902
ENSG00000204287	6	1.8857821	0.47611904	0.073272879518155	1127.01015986874
ENSG00000123349	6	1.8793209	0.4544863	0.0735260795203286	1130.90462910217
ENSG00000154548	6	1.8738244	2.4211388	0.074419186432803	1144.64150652294
ENSG00000086102	6	1.8976125	1.3138523	0.0744966110476097	1145.83237452328
ENSG00000104967	6	1.9028726	2.4948208	0.0759301845051147	1167.88216787317
ENSG00000214300	6	1.8741652	1.9969602	0.0771868561733934	1187.21103480296
ENSG00000075407	6	1.8701406	1.1551564	0.0772010513320356	1187.42937053804
ENSG00000011465	6	1.8754326	1.8200542	0.0781140475454259	1201.4721652962
ENSG00000156973	6	1.8405701	1.8581074	0.0822164714030935	1264.57154665098
ENSG00000145623	6	1.8747252	3.1473184	0.0823791163977844	1267.07318931432
ENSG00000197302	6	1.8427035	1.7768792	0.0826659845298276	1271.48550805328
ENSG00000106686	6	1.8392063	1.6808885	0.0832286239763581	1280.13946538036
ENSG00000110422	6	1.8443449	2.209286	0.0841330798375407	1294.05090098121
ENSG00000131914	6	1.8440729	2.3808668	0.0852497862738225	1311.22696267766
ENSG00000128881	6	1.8467524	2.6149797	0.088092232574366	1354.94662922632
ENSG00000049656	7	4.6685095	3.002156	0.000162015765233495	2.49196448505638
ENSG00000068912	7	4.429055	2.0293915	0.000211565573090942	3.25409007971178
ENSG00000135916	7	4.440934	1.8069364	0.000223032549829001	3.43046364891986
ENSG00000026751	7	4.203639	2.3277292	0.000398114837532812	6.12340431609218
